ds,y
2022-01-01,0
2022-01-02,1
2022-01-03,7
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,2
2022-01-09,5
2022-01-10,5
2022-01-11,4
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,7
2022-01-17,1
2022-01-18,0
2022-01-19,1
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,1
2022-01-24,5
2022-01-25,7
2022-01-26,0
2022-01-27,0
2022-01-28,1
2022-01-29,0
2022-01-30,5
2022-01-31,1
2022-02-01,7
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,6
2022-02-06,3
2022-02-07,3
2022-02-08,4
2022-02-09,0
2022-02-10,0
2022-02-11,1
2022-02-12,1
2022-02-13,2
2022-02-14,7
2022-02-15,2
2022-02-16,2
2022-02-17,0
2022-02-18,1
2022-02-19,3
2022-02-20,6
2022-02-21,8
2022-02-22,8
2022-02-23,1
2022-02-24,4
2022-02-25,2
2022-02-26,5
2022-02-27,5
2022-02-28,5
2022-03-01,7
2022-03-02,7
2022-03-03,2
2022-03-04,7
2022-03-05,3
2022-03-06,10
2022-03-07,7
2022-03-08,6
2022-03-09,7
2022-03-10,7
2022-03-11,7
2022-03-12,7
2022-03-13,8
2022-03-14,12
2022-03-15,11
2022-03-16,12
2022-03-17,8
2022-03-18,8
2022-03-19,8
2022-03-20,13
2022-03-21,10
2022-03-22,8
2022-03-23,9
2022-03-24,9
2022-03-25,9
2022-03-26,13
2022-03-27,13
2022-03-28,14
2022-03-29,12
2022-03-30,9
2022-03-31,6
2022-04-01,8
2022-04-02,10
2022-04-03,17
2022-04-04,14
2022-04-05,14
2022-04-06,11
2022-04-07,13
2022-04-08,13
2022-04-09,5
2022-04-10,13
2022-04-11,18
2022-04-12,14
2022-04-13,15
2022-04-14,9
2022-04-15,16
2022-04-16,17
2022-04-17,15
2022-04-18,13
2022-04-19,13
2022-04-20,11
2022-04-21,10
2022-04-22,14
2022-04-23,17
2022-04-24,20
2022-04-25,14
2022-04-26,19
2022-04-27,14
2022-04-28,12
2022-04-29,12
2022-04-30,17
2022-05-01,19
2022-05-02,20
2022-05-03,17
2022-05-04,16
2022-05-05,14
2022-05-06,12
2022-05-07,13
2022-05-08,23
2022-05-09,21
2022-05-10,18
2022-05-11,16
2022-05-12,13
2022-05-13,21
2022-05-14,17
2022-05-15,21
2022-05-16,20
2022-05-17,21
2022-05-18,17
2022-05-19,15
2022-05-20,20
2022-05-21,19
2022-05-22,23
2022-05-23,23
2022-05-24,20
2022-05-25,24
2022-05-26,18
2022-05-27,22
2022-05-28,15
2022-05-29,24
2022-05-30,23
2022-05-31,23
2022-06-01,19
2022-06-02,20
2022-06-03,21
2022-06-04,22
2022-06-05,24
2022-06-06,25
2022-06-07,24
2022-06-08,18
2022-06-09,17
2022-06-10,21
2022-06-11,22
2022-06-12,21
2022-06-13,24
2022-06-14,23
2022-06-15,18
2022-06-16,20
2022-06-17,19
2022-06-18,23
2022-06-19,24
2022-06-20,26
2022-06-21,24
2022-06-22,22
2022-06-23,20
2022-06-24,16
2022-06-25,21
2022-06-26,28
2022-06-27,28
2022-06-28,25
2022-06-29,24
2022-06-30,21
2022-07-01,21
2022-07-02,24
2022-07-03,22
2022-07-04,30
2022-07-05,26
2022-07-06,22
2022-07-07,20
2022-07-08,20
2022-07-09,21
2022-07-10,27
2022-07-11,26
2022-07-12,23
2022-07-13,25
2022-07-14,20
2022-07-15,22
2022-07-16,21
2022-07-17,27
2022-07-18,25
2022-07-19,29
2022-07-20,23
2022-07-21,18
2022-07-22,21
2022-07-23,23
2022-07-24,23
2022-07-25,27
2022-07-26,28
2022-07-27,23
2022-07-28,23
2022-07-29,17
2022-07-30,22
2022-07-31,24
2022-08-01,25
2022-08-02,25
2022-08-03,23
2022-08-04,22
2022-08-05,20
2022-08-06,23
2022-08-07,24
2022-08-08,22
2022-08-09,24
2022-08-10,16
2022-08-11,19
2022-08-12,18
2022-08-13,22
2022-08-14,20
2022-08-15,21
2022-08-16,23
2022-08-17,20
2022-08-18,19
2022-08-19,18
2022-08-20,24
2022-08-21,21
2022-08-22,23
2022-08-23,25
2022-08-24,16
2022-08-25,14
2022-08-26,20
2022-08-27,16
2022-08-28,24
2022-08-29,22
2022-08-30,23
2022-08-31,18
2022-09-01,19
2022-09-02,16
2022-09-03,20
2022-09-04,21
2022-09-05,20
2022-09-06,20
2022-09-07,16
2022-09-08,15
2022-09-09,12
2022-09-10,19
2022-09-11,16
2022-09-12,19
2022-09-13,19
2022-09-14,19
2022-09-15,15
2022-09-16,15
2022-09-17,17
2022-09-18,20
2022-09-19,22
2022-09-20,19
2022-09-21,18
2022-09-22,11
2022-09-23,10
2022-09-24,17
2022-09-25,19
2022-09-26,19
2022-09-27,21
2022-09-28,13
2022-09-29,6
2022-09-30,12
2022-10-01,15
2022-10-02,17
2022-10-03,19
2022-10-04,18
2022-10-05,13
2022-10-06,12
2022-10-07,9
2022-10-08,15
2022-10-09,16
2022-10-10,14
2022-10-11,17
2022-10-12,15
2022-10-13,11
2022-10-14,8
2022-10-15,16
2022-10-16,13
2022-10-17,14
2022-10-18,14
2022-10-19,12
2022-10-20,9
2022-10-21,11
2022-10-22,13
2022-10-23,15
2022-10-24,13
2022-10-25,15
2022-10-26,9
2022-10-27,6
2022-10-28,10
2022-10-29,12
2022-10-30,14
2022-10-31,10
2022-11-01,17
2022-11-02,12
2022-11-03,7
2022-11-04,8
2022-11-05,12
2022-11-06,12
2022-11-07,13
2022-11-08,11
2022-11-09,12
2022-11-10,5
2022-11-11,6
2022-11-12,9
2022-11-13,9
2022-11-14,11
2022-11-15,9
2022-11-16,6
2022-11-17,8
2022-11-18,0
2022-11-19,5
2022-11-20,13
2022-11-21,10
2022-11-22,10
2022-11-23,7
2022-11-24,5
2022-11-25,5
2022-11-26,3
2022-11-27,11
2022-11-28,10
2022-11-29,8
2022-11-30,10
2022-12-01,7
2022-12-02,1
2022-12-03,7
2022-12-04,11
2022-12-05,7
2022-12-06,7
2022-12-07,6
2022-12-08,6
2022-12-09,4
2022-12-10,7
2022-12-11,12
2022-12-12,11
2022-12-13,6
2022-12-14,8
2022-12-15,3
2022-12-16,2
2022-12-17,7
2022-12-18,12
2022-12-19,13
2022-12-20,9
2022-12-21,6
2022-12-22,0
2022-12-23,2
2022-12-24,6
2022-12-25,13
2022-12-26,11
2022-12-27,7
2022-12-28,6
2022-12-29,4
2022-12-30,6
2022-12-31,6
2023-01-01,7
2023-01-02,10
2023-01-03,12
2023-01-04,5
2023-01-05,4
2023-01-06,5
2023-01-07,6
2023-01-08,9
2023-01-09,12
2023-01-10,7
2023-01-11,5
2023-01-12,6
2023-01-13,2
2023-01-14,5
2023-01-15,10
2023-01-16,11
2023-01-17,12
2023-01-18,6
2023-01-19,7
2023-01-20,6
2023-01-21,5
2023-01-22,9
2023-01-23,11
2023-01-24,9
2023-01-25,4
2023-01-26,4
2023-01-27,8
2023-01-28,13
2023-01-29,9
2023-01-30,11
2023-01-31,10
2023-02-01,8
2023-02-02,7
2023-02-03,8
2023-02-04,8
2023-02-05,10
2023-02-06,10
2023-02-07,9
2023-02-08,10
2023-02-09,10
2023-02-10,7
2023-02-11,12
2023-02-12,12
2023-02-13,14
2023-02-14,12
2023-02-15,10
2023-02-16,11
2023-02-17,7
2023-02-18,8
2023-02-19,15
2023-02-20,9
2023-02-21,15
2023-02-22,8
2023-02-23,10
2023-02-24,11
2023-02-25,11
2023-02-26,15
2023-02-27,13
2023-02-28,14
2023-03-01,12
2023-03-02,6
2023-03-03,9
2023-03-04,14
2023-03-05,14
2023-03-06,18
2023-03-07,14
2023-03-08,12
2023-03-09,9
2023-03-10,13
2023-03-11,13
2023-03-12,17
2023-03-13,18
2023-03-14,15
2023-03-15,15
2023-03-16,10
2023-03-17,15
2023-03-18,16
2023-03-19,19
2023-03-20,19
2023-03-21,16
2023-03-22,16
2023-03-23,15
2023-03-24,17
2023-03-25,18
2023-03-26,17
2023-03-27,22
2023-03-28,19
2023-03-29,16
2023-03-30,15
2023-03-31,17
2023-04-01,17
2023-04-02,19
2023-04-03,23
2023-04-04,19
2023-04-05,17
2023-04-06,18
2023-04-07,19
2023-04-08,20
2023-04-09,20
2023-04-10,20
2023-04-11,23
2023-04-12,16
2023-04-13,19
2023-04-14,23
2023-04-15,22
2023-04-16,24
